name,category,price,image_url
lacivert Kısa Kollu Örme Erkek Pijama Takım 7794,Erkek,324.42,https://cdn.dsmcdn.com/mnresize/400/-/ty1808/prod/QC_ENRICHMENT/20251231/08/012b8f39-6ead-34aa-bc2d-6560819ef329/1_org_zoom.jpg
3 Adet Erkek Premium Yazlık Jogger Keten Pantolon,Erkek,1385.27,https://cdn.dsmcdn.com/mnresize/400/-/ty1862/prod/QC_PREP/20260426/17/65b15b3c-69f2-37c9-b6b2-c0efeec7ed7b/1_org_zoom.jpg
Desenli Para Bölmeli Hediye Kutulu Kartlık Cüzdan,Erkek,639.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1846/prod/QC_ENRICHMENT/20260326/13/2913bcc5-2e1f-33cd-92e4-b52721363c96/1_org_zoom.jpg
Rıcardo Mavi Erkek Jean Pantolon Lf2038394,Erkek,2124.91,https://cdn.dsmcdn.com/mnresize/400/-/ty1823/prod/QC_PREP/20260210/22/54371544-900b-3757-9de5-22788f802950/1_org_zoom.jpg
Erkek Pamuklu Füme Baskılı Cepli Şort Pijama Takımı,Erkek,468.38,https://cdn.dsmcdn.com/mnresize/400/-/ty1662/prod/QC/20250417/09/40502592-9da2-3b68-ba7a-3cef7d6ac8a9/1_org_zoom.jpg
Polo Yaka Slim Fit Nakışlı %100 Pamuk Tişört,Erkek,499.5,https://cdn.dsmcdn.com/mnresize/400/-/ty1915/prod/QC_ENRICHMENT/20260511/15/745ad967-9f15-3469-b401-bb26756a8d59/1_org_zoom.jpg
Erkek Siyah Pamuklu Baggy Fit Rahat Kesim Beli Bağcıklı Yan Cepli Örme Eşofman Altı,Erkek,472.45,https://cdn.dsmcdn.com/mnresize/400/-/ty1000381/product/media/images/prod/PIM/20260327/12/058d0211-aa62-46e3-8653-f2689bc05cd3/1_org_zoom.jpg
Erkek Kısa Kollu Bisiklet Yaka Triko Tişört,Erkek,379.9,https://cdn.dsmcdn.com/mnresize/400/-/ty1896/prod/QC_PREP/20260522/12/0514c71d-9f7f-3260-94bb-fbaedeffc08e/1_org_zoom.jpg
Slim Fit Pamuklu Basic Kısa Kol Polo Yaka,Erkek,358.26,https://cdn.dsmcdn.com/mnresize/400/-/ty1906/prod/QC_ENRICHMENT/20260520/15/a0a09eb2-30c0-337a-887e-c574747da725/1_org_zoom.jpg
siyah Kısa Kollu Örme Nakışlı Erkek Şort-Pijama Takım 7820,Erkek,301.59,https://cdn.dsmcdn.com/mnresize/400/-/ty1807/prod/QC_ENRICHMENT/20251231/13/83af2da3-8322-346f-bfbe-2e9f627e471d/1_org_zoom.jpg
Erkek Lacivert Pamuklu Slim Fit Dar Kesim Polo Yaka Tişört,Erkek,354.82,https://cdn.dsmcdn.com/mnresize/400/-/ty1000395/product/media/images/prod/PIM/20260505/09/02623072-ee59-4800-a8d3-1400845ca40f/1_org_zoom.jpg
Lacivert Slim Fit %100 Pamuk Kıvrılmaz Fermuarlı Polo Yaka Basic Tişört 50325311-VR033,Erkek,674.64,https://cdn.dsmcdn.com/mnresize/400/-/ty1850/prod/QC_PREP/20260402/10/c3a5e14d-0132-3d31-a35a-8cec102cb9d2/1_org_zoom.jpg
Erkek 5li Pamuklu Patik Çorap C6746AXNS,Erkek,149.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1717/prod/QC_ENRICHMENT/20250731/21/2b87cc3e-3fb6-3167-a65f-e4fffe65c74e/1_org_zoom.jpg
Erkek Bej Slim Fit Dar Kesim %100 Pamuk Kıvrılmaz Polo Yaka Tişört,Erkek,572.71,https://cdn.dsmcdn.com/mnresize/400/-/ty1426/product/media/images/prod/PIM/20240717/06/e7254e0b-6d5b-4a11-8307-d2805e326816/1_org_zoom.jpg
Erkek Koyu Antrasit Pamuklu Rahat Nefes Alabilen 2 İplik Cepli Örme Standart Fit Normal Kesim Şort,Erkek,372.59,https://cdn.dsmcdn.com/mnresize/400/-/ty1000403/product/media/images/prod/PIM/20260605/11/bc1a1f7b-fa2e-44e0-908e-b4e5ef55ca87/1_org_zoom.jpg
